taxon_resolution	contrast	hold	variable	asv_id	test	metric	p_fdr	taxonomy
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00123	cc_da	p_fdr	0.002597300173847919	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00124	cc_dv	p_fdr	0.03115310405738791	Bacteroidia;NS11-12 marine group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00124	cc_da	p_fdr	4.655141362345487e-17	Bacteroidia;NS11-12 marine group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00124	cc_dv	p_fdr	1.0606843795292188e-4	Bacteroidia;NS11-12 marine group
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00124	cc_da	p_fdr	1.3124317795935301e-9	Bacteroidia;NS11-12 marine group
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00124	cc_da	p_fdr	0.03201211447519039	Bacteroidia;NS11-12 marine group
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00124	cc_dv	p_fdr	0.08299980158219902	Bacteroidia;NS11-12 marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00124	cc_da	p_fdr	3.282652878726249e-22	Bacteroidia;NS11-12 marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00124	cc_dv	p_fdr	6.200162209625067e-7	Bacteroidia;NS11-12 marine group
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00124	cc_da	p_fdr	7.279350182561085e-17	Bacteroidia;NS11-12 marine group
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00125	cc_dv	p_fdr	0.03115310405738791	Alphaproteobacteria;SAR11 Clade III
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00125	cc_da	p_fdr	1.0891878256460963e-5	Alphaproteobacteria;SAR11 Clade III
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00125	cc_da	p_fdr	4.0406902260729514e-7	Alphaproteobacteria;SAR11 Clade III
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00125	cc_dv	p_fdr	0.08299980158219902	Alphaproteobacteria;SAR11 Clade III
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00125	cc_da	p_fdr	3.281462257548027e-5	Alphaproteobacteria;SAR11 Clade III
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00125	cc_dv	p_fdr	0.025727487331281818	Alphaproteobacteria;SAR11 Clade III
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00125	cc_da	p_fdr	2.4660336467109555e-6	Alphaproteobacteria;SAR11 Clade III
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00126	cc_dv	p_fdr	0.005821912503079132	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00128	cc_da	p_fdr	0.02462531800002012	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00128	cc_da	p_fdr	0.00900701783691041	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00129	cc_da	p_fdr	0.006776542366326359	Gammaproteobacteria;Ectothiorhodospiraceae
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00129	cc_da	p_fdr	7.766446603640766e-7	Gammaproteobacteria;Ectothiorhodospiraceae
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00129	cc_da	p_fdr	6.385293405598252e-10	Gammaproteobacteria;Ectothiorhodospiraceae
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00129	cc_dv	p_fdr	0.008989221142171164	Gammaproteobacteria;Ectothiorhodospiraceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00129	cc_da	p_fdr	0.002099911527857767	Gammaproteobacteria;Ectothiorhodospiraceae
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00129	cc_da	p_fdr	1.7404088584452665e-4	Gammaproteobacteria;Ectothiorhodospiraceae
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00130	cc_da	p_fdr	2.4881610913281527e-8	Gammaproteobacteria;OM182 clade
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00130	cc_da	p_fdr	1.3597732761994881e-11	Gammaproteobacteria;OM182 clade
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00130	cc_da	p_fdr	8.529637051179596e-9	Gammaproteobacteria;OM182 clade
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00130	cc_da	p_fdr	6.448871655390754e-12	Gammaproteobacteria;OM182 clade
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00131	cc_da	p_fdr	1.8626514965284656e-22	Alphaproteobacteria;Thalassobius
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00131	cc_dv	p_fdr	4.303487692515732e-4	Alphaproteobacteria;Thalassobius
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00131	cc_da	p_fdr	2.1625105851223797e-13	Alphaproteobacteria;Thalassobius
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00131	cc_da	p_fdr	7.303072804542446e-22	Alphaproteobacteria;Thalassobius
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00131	cc_dv	p_fdr	3.950195947006314e-4	Alphaproteobacteria;Thalassobius
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00131	cc_da	p_fdr	3.352436678470077e-13	Alphaproteobacteria;Thalassobius
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00132	cc_da	p_fdr	0.019333175472158192	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00132	cc_da	p_fdr	0.047803274761529825	NA
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00133	cc_da	p_fdr	1.2004291969676717e-8	Alphaproteobacteria;S25-593
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00133	cc_da	p_fdr	1.8739325197126423e-11	Alphaproteobacteria;S25-593
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00133	cc_dv	p_fdr	0.06225564505580087	Alphaproteobacteria;S25-593
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00133	cc_da	p_fdr	0.08216411358077512	Alphaproteobacteria;S25-593
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00134	cc_dv	p_fdr	1.7218184530545965e-5	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00134	cc_dv	p_fdr	7.186604955110685e-4	NA
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00138	cc_da	p_fdr	0.01357921069306689	Gammaproteobacteria;BD1-7 clade
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00138	cc_da	p_fdr	0.0026166723560996172	Gammaproteobacteria;BD1-7 clade
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00138	cc_da	p_fdr	0.020994296974371676	Gammaproteobacteria;BD1-7 clade
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00138	cc_da	p_fdr	0.00566735455723192	Gammaproteobacteria;BD1-7 clade
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00140	cc_dv	p_fdr	0.03057716033603666	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00140	cc_dv	p_fdr	0.08105474989172219	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00141	cc_da	p_fdr	0.017770134242405776	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00141	cc_da	p_fdr	0.0029046012117456914	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00145	cc_da	p_fdr	0.03738365621231932	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00145	cc_da	p_fdr	0.007303155961053871	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00146	cc_dv	p_fdr	0.0035087044475175986	Gammaproteobacteria;MWH-UniP1 aquatic group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00146	cc_da	p_fdr	2.20961183159963e-7	Gammaproteobacteria;MWH-UniP1 aquatic group
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00146	cc_da	p_fdr	3.4840519467677615e-4	Gammaproteobacteria;MWH-UniP1 aquatic group
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00146	cc_dv	p_fdr	9.791891342084545e-5	Gammaproteobacteria;MWH-UniP1 aquatic group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00146	cc_da	p_fdr	4.6959977660577677e-4	Gammaproteobacteria;MWH-UniP1 aquatic group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00146	cc_dv	p_fdr	0.02600044347315147	Gammaproteobacteria;MWH-UniP1 aquatic group
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00146	cc_da	p_fdr	0.02478622764932254	Gammaproteobacteria;MWH-UniP1 aquatic group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00147	cc_da	p_fdr	0.025062148532774546	Gammaproteobacteria;Vibrio
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00147	cc_dv	p_fdr	0.028982430391801015	Gammaproteobacteria;Vibrio
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00147	cc_dv	p_fdr	0.055468186869277354	Gammaproteobacteria;Vibrio
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00150	cc_da	p_fdr	4.840944375535139e-7	Verrucomicrobiae;MB11C04 marine group
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00150	cc_da	p_fdr	7.291457939975218e-9	Verrucomicrobiae;MB11C04 marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00150	cc_da	p_fdr	0.017885889989021152	Verrucomicrobiae;MB11C04 marine group
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00150	cc_da	p_fdr	0.005295145620297449	Verrucomicrobiae;MB11C04 marine group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00153	cc_da	p_fdr	6.064508524663119e-5	Gammaproteobacteria;Pseudohongiella
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00153	cc_da	p_fdr	5.239515797005857e-7	Gammaproteobacteria;Pseudohongiella
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00153	cc_da	p_fdr	6.888149678023706e-5	Gammaproteobacteria;Pseudohongiella
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00153	cc_da	p_fdr	5.780750501731289e-7	Gammaproteobacteria;Pseudohongiella
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00154	cc_dv	p_fdr	0.012295186841921485	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00154	cc_da	p_fdr	4.5689758910921314e-10	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00154	cc_da	p_fdr	0.003229212159902181	NA
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00155	cc_da	p_fdr	3.17277807219652e-5	Bacteria;SAR324 clade(Marine group B)
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00155	cc_da	p_fdr	1.0757315592220467e-8	Bacteria;SAR324 clade(Marine group B)
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00155	cc_da	p_fdr	3.0000141151219972e-5	Bacteria;SAR324 clade(Marine group B)
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00155	cc_da	p_fdr	5.860114565444279e-7	Bacteria;SAR324 clade(Marine group B)
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00158	cc_dv	p_fdr	0.013162237276800272	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00158	cc_dv	p_fdr	0.026660389144188314	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00161	cc_dv	p_fdr	9.676761583373585e-4	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00161	cc_da	p_fdr	0.025348510045091133	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00161	cc_dv	p_fdr	0.009984580204356741	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00161	cc_da	p_fdr	0.027118699773374434	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00164	cc_da	p_fdr	0.08329627420279072	Bacteroidia;Chitinophagales
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00164	cc_da	p_fdr	4.006772799597694e-17	Bacteroidia;Chitinophagales
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00164	cc_da	p_fdr	1.6058824733601579e-15	Bacteroidia;Chitinophagales
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00164	cc_da	p_fdr	0.004801389618970786	Bacteroidia;Chitinophagales
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00164	cc_dv	p_fdr	0.07663406467139969	Bacteroidia;Chitinophagales
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00164	cc_da	p_fdr	0.08627258734468214	Bacteroidia;Chitinophagales
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00165	cc_da	p_fdr	3.6175339921498532e-16	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00165	cc_dv	p_fdr	0.052541283251295035	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00165	cc_da	p_fdr	0.003229212159902181	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00167	cc_dv	p_fdr	0.0024795761740704827	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00167	cc_da	p_fdr	0.03859254747312018	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00167	cc_dv	p_fdr	0.007048536668633953	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00167	cc_da	p_fdr	0.04999487511333882	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00168	cc_dv	p_fdr	0.009864932729347475	Gammaproteobacteria;Litoricola
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00168	cc_dv	p_fdr	0.0029237016246567867	Gammaproteobacteria;Litoricola
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00168	cc_dv	p_fdr	0.002966912238199352	Gammaproteobacteria;Litoricola
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00168	cc_dv	p_fdr	0.0031284982761146324	Gammaproteobacteria;Litoricola
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00177	cc_da	p_fdr	0.06389190376962164	Gammaproteobacteria;Pseudoalteromonas
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00177	cc_da	p_fdr	0.006178319479767842	Gammaproteobacteria;Pseudoalteromonas
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00177	cc_da	p_fdr	0.007952141073658877	Gammaproteobacteria;Pseudoalteromonas
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00178	cc_da	p_fdr	0.008479119195611555	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00178	cc_dv	p_fdr	0.08872544071126266	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00178	cc_da	p_fdr	0.0018938657425937443	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00180	cc_da	p_fdr	0.05021597534340978	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00180	cc_da	p_fdr	0.005349817972349967	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00181	cc_da	p_fdr	0.08627258734468214	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00182	cc_da	p_fdr	0.016879767096676275	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00182	cc_da	p_fdr	0.026837494119016723	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00185	cc_dv	p_fdr	0.025299747503885434	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00185	cc_da	p_fdr	0.011371788171797518	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00185	cc_dv	p_fdr	0.08068017522342773	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00185	cc_da	p_fdr	0.0076790201984775685	NA
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00186	cc_da	p_fdr	3.890165845373186e-9	Bacteroidia;Bacteroides
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00186	cc_dv	p_fdr	0.0022020125557445144	Bacteroidia;Bacteroides
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00186	cc_da	p_fdr	6.333938454567392e-4	Bacteroidia;Bacteroides
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00187	cc_dv	p_fdr	0.015566898103284158	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00187	cc_da	p_fdr	9.955399630561534e-12	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00187	cc_dv	p_fdr	0.012790035912108791	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00187	cc_da	p_fdr	1.8973648898389654e-6	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00192	cc_dv	p_fdr	0.07753671543337226	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00192	cc_dv	p_fdr	3.6113116661189626e-4	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00195	cc_dv	p_fdr	2.232498728017492e-4	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00195	cc_dv	p_fdr	0.010714679223285967	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00199	cc_dv	p_fdr	1.50510333270649e-4	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00199	cc_da	p_fdr	1.1096717808572188e-10	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00199	cc_dv	p_fdr	0.001938681065619426	NA
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00209	cc_da	p_fdr	2.265959497070194e-6	Kiritimatiellae;R76-B128
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00209	cc_da	p_fdr	0.001787664409918782	Kiritimatiellae;R76-B128
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00209	cc_dv	p_fdr	0.013162237276800272	Kiritimatiellae;R76-B128
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00209	cc_da	p_fdr	2.6863871844378887e-5	Kiritimatiellae;R76-B128
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00209	cc_da	p_fdr	0.014114947392974654	Kiritimatiellae;R76-B128
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00210	cc_da	p_fdr	0.0015221819053191524	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00210	cc_da	p_fdr	2.7697295425120036e-4	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00211	cc_dv	p_fdr	0.010717258245900342	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00211	cc_dv	p_fdr	0.012790035912108791	NA
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00215	cc_da	p_fdr	2.0598034247611352e-30	Bacteroidia;Saprospiraceae
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00215	cc_da	p_fdr	3.398817601012856e-13	Bacteroidia;Saprospiraceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00215	cc_da	p_fdr	0.011402876768281101	Bacteroidia;Saprospiraceae
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00215	cc_da	p_fdr	0.03713212619388411	Bacteroidia;Saprospiraceae
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00216	cc_dv	p_fdr	0.005821912503079132	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00216	cc_da	p_fdr	0.0030914986474033	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00216	cc_da	p_fdr	0.004812435212977992	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00217	cc_dv	p_fdr	0.008989221142171164	Gammaproteobacteria;Coxiella
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00217	cc_da	p_fdr	7.5644928138769995e-6	Gammaproteobacteria;Coxiella
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00217	cc_dv	p_fdr	0.07504657351876357	Gammaproteobacteria;Coxiella
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00217	cc_da	p_fdr	0.002025815516800741	Gammaproteobacteria;Coxiella
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00218	cc_dv	p_fdr	0.0024795761740704827	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00218	cc_dv	p_fdr	0.005333893262863475	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00221	cc_da	p_fdr	0.034450967844335025	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00222	cc_dv	p_fdr	0.003563677114065738	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00222	cc_da	p_fdr	5.6105593740109174e-21	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00222	cc_da	p_fdr	0.002398828590339481	NA
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00227	cc_da	p_fdr	4.459163062137614e-9	Gammaproteobacteria;Photobacterium
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00227	cc_dv	p_fdr	0.051791524089033814	Gammaproteobacteria;Photobacterium
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00227	cc_da	p_fdr	7.142441433236278e-5	Gammaproteobacteria;Photobacterium
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00227	cc_da	p_fdr	0.004497358333729222	Gammaproteobacteria;Photobacterium
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00227	cc_da	p_fdr	0.004618333475119846	Gammaproteobacteria;Photobacterium
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00228	cc_dv	p_fdr	0.010563190019359184	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00228	cc_dv	p_fdr	0.07663406467139969	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00229	cc_dv	p_fdr	0.009864932729347475	Bacteroidia;Cyclobacteriaceae
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00229	cc_dv	p_fdr	1.0606843795292188e-4	Bacteroidia;Cyclobacteriaceae
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00229	cc_dv	p_fdr	0.005650288726773635	Bacteroidia;Cyclobacteriaceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00229	cc_dv	p_fdr	0.017383251751130015	Bacteroidia;Cyclobacteriaceae
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00233	cc_dv	p_fdr	0.058342371344062505	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00233	cc_da	p_fdr	0.034450967844335025	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00233	cc_da	p_fdr	0.015057995470083628	NA
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00236	cc_da	p_fdr	1.4954381772632475e-4	Gammaproteobacteria;Thiotrichaceae
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00236	cc_da	p_fdr	2.058249597812965e-6	Gammaproteobacteria;Thiotrichaceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00236	cc_da	p_fdr	0.0023142598151433672	Gammaproteobacteria;Thiotrichaceae
